symbol,Period Start,Period End,Return,Earnings Per Share
AAL,2012-12-31,2013-12-31,0.00319901446511,-11.25
AAL,2013-12-31,2014-12-31,0.00442360154807,4.02
AAL,2014-12-31,2015-12-31,-0.000850918638648,11.39
AAP,2012-12-29,2013-12-28,0.00206884974483,5.36
AAP,2013-12-28,2015-01-03,0.00175027238998,6.75
AAP,2015-01-03,2016-01-02,-0.000151754609017,6.45
AAPL,2013-09-28,2014-09-27,0.00190950959893,6.49
AAPL,2014-09-27,2015-09-26,0.000581034083789,9.28
AAPL,2015-09-26,2016-09-24,9.56674884232e-06,8.35
ABBV,2012-12-31,2013-12-31,0.00199881613422,2.58
ABBV,2013-12-31,2014-12-31,0.00102756264619,1.11
ABBV,2014-12-31,2015-12-31,-0.000400498973814,3.15
ABC,2013-09-30,2014-09-30,0.000941253772636,1.22
ABC,2014-09-30,2015-09-30,0.000946916545211,-0.62
ABC,2015-09-30,2016-09-30,-0.000574212098327,6.73
ABT,2012-12-31,2013-12-31,0.000777555307424,1.64
ABT,2013-12-31,2014-12-31,0.000704798442177,1.5
ABT,2014-12-31,2015-12-31,8.8362141219e-07,2.94
ADBE,2013-11-29,2014-11-28,0.00118763863476,0.54
ADBE,2014-11-28,2015-11-27,0.000995070457154,1.26
ADI,2013-11-02,2014-11-01,3.72796041222e-05,0.35
ADI,2014-11-01,2015-10-31,0.000833351853313,0.31
ADI,2015-10-31,2016-10-29,0.000210625776642,0.96
ADM,2012-12-31,2013-12-31,0.00203879975197,2.03
ADM,2013-12-31,2014-12-31,0.000831680824706,3.44
ADM,2014-12-31,2015-12-31,-0.00117018484954,2.99
ADS,2012-12-31,2013-12-31,0.00303237027423,10.09
ADS,2013-12-31,2014-12-31,0.00035864630356,8.72
ADS,2014-12-31,2015-12-31,-0.00012236951296,8.91
ADSK,2013-01-31,2014-01-31,0.00125447384622,1.02
ADSK,2014-01-31,2015-01-31,0.000377972869136,0.36
ADSK,2015-01-31,2016-01-31,-0.000537392126607,-1.46
AEE,2012-12-31,2013-12-31,0.000613229540433,1.19
AEE,2013-12-31,2014-12-31,0.0011838868895,2.42
AEE,2014-12-31,2015-12-31,-0.000238147171398,2.6
AEP,2012-12-31,2013-12-31,0.000280914185569,3.04
AEP,2013-12-31,2014-12-31,0.00125507964756,3.34
AFL,2012-12-31,2013-12-31,0.000934268261894,6.8
AFL,2013-12-31,2014-12-31,-0.000292986554732,6.54
AFL,2014-12-31,2015-12-31,-7.66624022465e-05,5.88
AIG,2012-12-31,2013-12-31,0.00158490834291,6.16
AIG,2013-12-31,2014-12-31,0.000414745463976,5.27
AIG,2014-12-31,2015-12-31,0.000414435356256,1.69
AIV,2012-12-31,2013-12-31,-0.0002116790117,1.4
AIV,2013-12-31,2014-12-31,0.00172146594132,2.06
AIV,2014-12-31,2015-12-31,0.000224124141362,1.52
AIZ,2013-12-31,2014-12-31,0.000188935545641,6.52
AIZ,2014-12-31,2015-12-31,0.00074774415362,2.08
AJG,2013-12-31,2014-12-31,7.99669779099e-05,1.98
AJG,2014-12-31,2015-12-31,-0.000510180032706,2.07
AKAM,2012-12-31,2013-12-31,0.000472500828288,1.65
AKAM,2013-12-31,2014-12-31,0.00140121242423,1.87
AKAM,2014-12-31,2015-12-31,-0.000666290168768,1.8
ALB,2012-12-31,2013-12-31,-5.61606036648e-05,4.93
ALB,2013-12-31,2014-12-31,-0.000189173846961,1.69
ALB,2014-12-31,2015-12-31,-0.000282929923484,3.01
ALK,2012-12-31,2013-12-31,0.0026578455352,7.26
